,start_window,tweet_ids,n_tweets
0,2020-06-03 14:00:06,"[1268150465512038403, 1268150470494871556, 1268150484713570304, 1268150504670011392, 1268150517500346368, 1268150558994706432, 1268150610253275138, 1268150614342750208, 1268150637180616706, 1268150718705340416, 1268150720055869440, 1268150795536683008, 1268150940684759042, 1268150985454649344, 1268150996053692418, 1268151053566042113, 1268151184919089153, 1268151206498775047, 1268151220105097216, 1268151220574642176, 1268151222680334336, 1268151241244315649, 1268151341286862850, 1268151348094283776, 1268151397721276417, 1268151404214071297, 1268151481397583875, 1268151651606704128, 1268151652806246402]",29
1,2020-06-03 14:05:06,"[1268151959002939397, 1268152001021513729, 1268152003991044099, 1268152021930180609, 1268152069233532928, 1268152091450753024, 1268152154629509121, 1268152259470336002, 1268152390672359425, 1268152403729276928, 1268152521337516032, 1268152575066550274, 1268152589075578881, 1268152601239060482, 1268152660991135749, 1268152661318262785, 1268152696764325889, 1268152716922105858, 1268152751583870976, 1268152811088478213, 1268152820349493249, 1268152822274588672, 1268152833108594689, 1268152834756919300, 1268152898770350080, 1268152966508351490, 1268152968169259008]",27
2,2020-06-03 14:10:06,"[1268152999685361664, 1268153029309710338, 1268153132552458243, 1268153146964049922, 1268153178350067721, 1268153187455959040, 1268153268628307974, 1268153283639685120, 1268153301872377856, 1268153302438547456, 1268153322617307137, 1268153337028976641, 1268153351067308032, 1268153379479568384, 1268153420634116096, 1268153464489758725, 1268153475633950720, 1268153514955542532, 1268153553274757120, 1268153701769805826, 1268153816274341890, 1268153829637468161, 1268153868988407808, 1268153878878523394, 1268153938244784130, 1268153972063428608, 1268154015675813888, 1268154077072031749, 1268154088941858816, 1268154164347113472, 1268154165223718912, 1268154199516250112]",32
3,2020-06-03 14:15:06,"[1268154280067977216, 1268154345364783114, 1268154348258971648, 1268154371117920256, 1268154427350945798, 1268154472234135552, 1268154502168928262, 1268154504207351808, 1268154566677270528, 1268154591792807936, 1268154640027262976, 1268154758763773956, 1268154796382486533, 1268154847448236032, 1268154854591119366, 1268155023189565440, 1268155055355629569, 1268155062783750144, 1268155096426217472, 1268155135362023424, 1268155164134985728, 1268155210448470023, 1268155367768416257, 1268155423665897472, 1268155449737654276, 1268155477705326592]",26
4,2020-06-03 14:20:06,"[1268155502648836096, 1268155511519748096, 1268155589047312385, 1268155590351769600, 1268155639949385728, 1268155731066392576, 1268155745385709573, 1268155840978173957, 1268155841716334595, 1268155871013543937, 1268155894170337286, 1268155902709940224, 1268155921596928000, 1268155924725796864, 1268155938760011777, 1268155951544250377, 1268156011778658304, 1268156045026824195, 1268156260291088385, 1268156316654190593, 1268156331053256706, 1268156445763264513, 1268156453266821122, 1268156474641076225, 1268156476880756739, 1268156517414510594, 1268156661786705921, 1268156701469020160, 1268156702219796482, 1268156731370147841, 1268156745765007366]",31
5,2020-06-03 14:25:06,"[1268156767697014785, 1268156779420098561, 1268156906666852353, 1268156954020642816, 1268157078004289536, 1268157154504081409, 1268157217469018112, 1268157238386085889, 1268157335949672448, 1268157363615420416, 1268157407563153408, 1268157511724605440, 1268157522592116737, 1268157578699255809, 1268157729790558208, 1268157742973431810, 1268157744412057600, 1268157762615365633, 1268157764829839361, 1268157784752902144, 1268157791002296323, 1268157897734868992, 1268157937207427073, 1268157977351069704, 1268157980916187137]",25
6,2020-06-03 14:30:06,"[1268158033042997254, 1268158053272215552, 1268158105973592064, 1268158160105324544, 1268158226182344704, 1268158340582068224, 1268158422987522050, 1268158434240876545, 1268158485889527810, 1268158560963383298, 1268158579913129984, 1268158583671336960, 1268158619121602562, 1268158695382364166, 1268158777213300738, 1268158807378714624, 1268158825066045445, 1268159007379935232, 1268159072576122880, 1268159079517749248, 1268159084613820417, 1268159237051604992]",22
7,2020-06-03 14:35:06,"[1268159512797683713, 1268159591285735430, 1268159648366018571, 1268159663134081024, 1268159703416295425, 1268159771347169285, 1268159809339170818, 1268159924338556928, 1268159926230298626, 1268160016462331904, 1268160033617063936, 1268160135844769793, 1268160143365230594, 1268160245731393536, 1268160285740797952, 1268160290853511168, 1268160346885443585, 1268160390116052998, 1268160430444249089, 1268160452921622530, 1268160461779976192]",21
8,2020-06-03 14:40:06,"[1268160569586192386, 1268160634413297664, 1268160656676618241, 1268160713404678145, 1268160735936471041, 1268160808548102144, 1268160979327746048, 1268160994913644545, 1268161025762824193, 1268161075146567684, 1268161181145075714, 1268161222991654915, 1268161272127918080, 1268161314804858880, 1268161317082476546, 1268161325441712131, 1268161406731530241, 1268161407692005433, 1268161431976976385, 1268161447584051206, 1268161492807024640, 1268161566610001920, 1268161579868135435]",23
9,2020-06-03 14:45:06,"[1268161837629157376, 1268161882562625540, 1268161907267178496, 1268161927383068672, 1268161995221729280, 1268162109361307648, 1268162166223495171, 1268162221470777344, 1268162229280612352, 1268162238025695238, 1268162355688542211, 1268162371064934400, 1268162397564518400, 1268162397983789056, 1268162463448600577, 1268162509661495296, 1268162629576638464, 1268162677257441280, 1268162704075882503, 1268162722589483008, 1268162751735750659, 1268162753161768960, 1268162805846478855, 1268162849886613504, 1268162856010342401, 1268162884674215937, 1268162941586677761, 1268162977141841921, 1268163002760658945]",29
10,2020-06-03 14:50:06,"[1268163069643014144, 1268163184088752129, 1268163331149438978, 1268163356642488324, 1268163412128915459, 1268163687048675332, 1268163769924018178, 1268163784104914949, 1268163786634133506, 1268163855743627264, 1268163861082968064, 1268163865172459520, 1268163873359757312, 1268163928963637248, 1268164017241104384, 1268164046303436801, 1268164116377673728, 1268164202528727041, 1268164239761510400, 1268164270715482119, 1268164273576042501, 1268164302671880195]",22
11,2020-06-03 14:55:06,"[1268164340018040832, 1268164364370141185, 1268164368321167361, 1268164403297431554, 1268164409341419521, 1268164415993544704, 1268164454660952065, 1268164463565459456, 1268164500752150528, 1268164522365407238, 1268164567961686022, 1268164650119696384, 1268164672013971456, 1268164746701832194, 1268164794701549568, 1268164822182629379, 1268164934514421761, 1268164960154198020, 1268165162734891013, 1268165175347220482, 1268165213058142214, 1268165258130141185, 1268165388921176065, 1268165525886156800]",24
12,2020-06-03 15:00:06,"[1268165574019948546, 1268165674838482945, 1268165775023620100, 1268165827091726336, 1268165874856443904, 1268165918124847104, 1268165985477017601, 1268165987548958720, 1268166007387979776, 1268166011477516289, 1268166031039770630, 1268166082675781635, 1268166091055992832, 1268166135423414273, 1268166186325422081, 1268166190716895234, 1268166297340334080, 1268166356240936961, 1268166427728543748, 1268166429406363650, 1268166458376441860, 1268166480996302848, 1268166581353406464, 1268166692879896577, 1268166740367872002, 1268166815022231553]",26
13,2020-06-03 15:05:06,"[1268166839135281159, 1268166869682466818, 1268166870705856512, 1268166900762189830, 1268166911713476608, 1268166911801597952, 1268166973537517568, 1268167108690616320, 1268167184699854848, 1268167250936291332, 1268167383119781888, 1268167427076034567, 1268167489818632193, 1268167561465737222, 1268167611260571650, 1268167614473388035, 1268167631745449984, 1268167642424193025, 1268167725815398412, 1268167757893378048, 1268167760883920896, 1268167781100503040, 1268167824951906305, 1268167851963269125, 1268167898201292804]",25
14,2020-06-03 15:10:06,"[1268168214300823553, 1268168240804646921, 1268168327823794176, 1268168442131161089, 1268168443217444874, 1268168460330250241, 1268168542173761536, 1268168700382887937, 1268168719626317824, 1268168737640906754, 1268168748688723974, 1268168950048788482, 1268169077312425986, 1268169120794771457, 1268169139677511680, 1268169157532618758, 1268169207822389248, 1268169225769750530]",18
15,2020-06-03 15:15:06,"[1268169430627954688, 1268169503483011072, 1268169525620625409, 1268169529521311746, 1268169538111180803, 1268169563042177024, 1268169636190859272, 1268169659410415619, 1268169706474741760, 1268169726284500992, 1268169826280718339, 1268169913534951430, 1268169922309435393, 1268169946275680258, 1268170133903679489, 1268170245803511809, 1268170404272668672, 1268170500976578561]",18
16,2020-06-03 15:20:06,"[1268170602646568960, 1268170616986877953, 1268170778350100482, 1268170817055215618, 1268170835640139776, 1268170839545053187, 1268170841575079936, 1268170925507325952, 1268170937507160067, 1268170964115865600, 1268171079064997890, 1268171103886815232, 1268171104323088389, 1268171248569397250, 1268171252117770245, 1268171401078493184, 1268171409295015936, 1268171509144735744, 1268171519911497728, 1268171533391998977, 1268171553746845697, 1268171644738174976, 1268171722282405889]",23
17,2020-06-03 15:25:06,"[1268171957616476160, 1268171980672503813, 1268172048356040704, 1268172091058241537, 1268172152714473474, 1268172351256121344, 1268172356985458690, 1268172655628300288, 1268172674204827650, 1268172757105356800, 1268172775136604162, 1268172812138811393, 1268172818975465472, 1268173049368641536, 1268173064128380933]",15
18,2020-06-03 15:30:06,"[1268173307209297921, 1268173310778650626, 1268173341992660998, 1268173361806483458, 1268173377837154304, 1268173390361264128, 1268173432707055616, 1268173459294691329, 1268173878490169345, 1268173900288012293, 1268173985377894400, 1268173988620046338, 1268174154139910153, 1268174163883233281, 1268174277985144832, 1268174311795437570, 1268174328694280193, 1268174341604343809]",18
19,2020-06-03 15:35:06,"[1268174372486995975, 1268174385023778816, 1268174389545259009, 1268174412035108869, 1268174454863134720, 1268174465596379136, 1268174507606409217, 1268174560282710019, 1268174665580675072, 1268174722568720384, 1268174747248070656, 1268174790843674625, 1268174828667842560, 1268174836016263168, 1268174859286315010, 1268174859768598529, 1268174859978379265, 1268174861987430400, 1268174911366971392, 1268175028572557317, 1268175091193479175, 1268175200996200450, 1268175202019692546, 1268175211670769671, 1268175224362729479, 1268175261297770496, 1268175285935013890, 1268175554181767173, 1268175578106155012]",29
20,2020-06-03 15:40:06,"[1268175665037180928, 1268175685304147970, 1268175707856932865, 1268175708750319616, 1268175730229350400, 1268175836101971968, 1268175884583940097, 1268175891697451009, 1268175912182448129, 1268175913331634176, 1268175929953652737, 1268175989533794308, 1268176161466650627, 1268176205813080064, 1268176209499893761, 1268176214155558912, 1268176327695269894, 1268176381260816386, 1268176485166260225, 1268176505055698944, 1268176538262016001, 1268176559065763840, 1268176582675509249, 1268176669220667394, 1268176690880155648, 1268176720261152769, 1268176821830537216]",27
21,2020-06-03 15:45:06,"[1268177070175199236, 1268177071316099072, 1268177102643384326, 1268177123648339968, 1268177124109803520, 1268177167311126528, 1268177193693261824, 1268177209707114499, 1268177214652153858, 1268177224441778176, 1268177233631481858, 1268177240069681154, 1268177273431240706, 1268177286592958464, 1268177317064564738, 1268177332986052608, 1268177344172302336, 1268177366888714242, 1268177395930091526, 1268177523810107394, 1268177528742699011, 1268177569213489161, 1268177581695799301, 1268177595679617025, 1268177657444868102, 1268177661416914954, 1268177732468445184, 1268177807882027008, 1268177839309885442, 1268177887456382980, 1268177917932195841, 1268177932138221569, 1268177984969728004, 1268177990116167684, 1268178018327035904, 1268178018645749763, 1268178061310255104, 1268178061322846210, 1268178125713702919]",39
22,2020-06-03 15:50:06,"[1268178180759851010, 1268178316458168321, 1268178391284346881, 1268178427858821122, 1268178434515181570, 1268178438436859904, 1268178465544691718, 1268178467394379778, 1268178478341464064, 1268178492115619841, 1268178545840357376, 1268178575368339456, 1268178588689403904, 1268178645505499138, 1268178664811831296, 1268178674840453120, 1268178678820884482, 1268178762232999936, 1268178786429931523, 1268178895884505091, 1268178923386527745, 1268178926561607681, 1268178973420371977, 1268179032862076928, 1268179059718131712, 1268179071722295296, 1268179091972403204, 1268179103200444416, 1268179204031553537, 1268179276949450752, 1268179292309110790, 1268179300618063881, 1268179316870918144, 1268179360940535808, 1268179367903068162, 1268179393538654208]",36
23,2020-06-03 15:55:06,"[1268179444742717442, 1268179448941207555, 1268179537499693058, 1268179563554770944, 1268179564917858305, 1268179581019848705, 1268179596358410240, 1268179659956670464, 1268179663316226048, 1268179755419013125, 1268179766152134656, 1268179778319900677, 1268179779699834881, 1268179831847600130, 1268179916874485761, 1268179917365223426, 1268179946368839680, 1268179960461697026, 1268179984864235521, 1268180016585756672, 1268180026526175232, 1268180103751774209, 1268180144965005313, 1268180165953236993, 1268180178146033664, 1268180241014497281, 1268180289068638211, 1268180343909212174, 1268180345704329216, 1268180366633902080, 1268180394945413120, 1268180460229799938, 1268180476885377024, 1268180498796425217, 1268180510301458437, 1268180526776700935]",36
24,2020-06-03 16:00:06,"[1268180691205992448, 1268180797728702465, 1268180820197588992, 1268180843358564355, 1268180848706273281, 1268180887553925120, 1268180920118411265, 1268180950636265473, 1268181002628841473, 1268181036640370689, 1268181192693682176, 1268181278060404737, 1268181320129282049, 1268181529420795904, 1268181584953446407, 1268181605979471872, 1268181658944995329, 1268181669628043264, 1268181694923890689, 1268181752511639559, 1268181781259395083, 1268181806794317824, 1268181823605047297, 1268181850641633280, 1268181907684106242]",25
25,2020-06-03 16:05:06,"[1268181946611490817, 1268181954974941184, 1268181964328181760, 1268181971152375808, 1268182064446287872, 1268182154242076673, 1268182183455477760, 1268182227801735170, 1268182266410340355, 1268182277990866945, 1268182311591428098, 1268182334400012289, 1268182381674061825, 1268182528332107776, 1268182620766175239, 1268182640651374592, 1268182850593083394, 1268182886227771394, 1268182903864909825, 1268182933518651395, 1268183167665610754]",21
26,2020-06-03 16:10:06,"[1268183233927266316, 1268183307877056521, 1268183375216545793, 1268183388034338817, 1268183390961963008, 1268183405038129152, 1268183548076449797, 1268183592766779393, 1268183611850797062, 1268183668570415108, 1268183756331986947, 1268183826628521984, 1268184023194636293, 1268184043591327744, 1268184203377729537, 1268184224353464320, 1268184240975425536, 1268184263322750979, 1268184272512393217, 1268184366594883584]",20
27,2020-06-03 16:15:06,"[1268184471477669888, 1268184641141444608, 1268184645541265410, 1268184648108081152, 1268184659407638529, 1268184678835662849, 1268184679162753024, 1268184710808850432, 1268184800973725696, 1268184830518480896, 1268184857546493952, 1268185019878645760, 1268185169023979521, 1268185287659831296, 1268185322837417986, 1268185323063988228, 1268185345000120322, 1268185357641809920, 1268185358526812164, 1268185398959890433, 1268185450470084608, 1268185472565686273, 1268185485685469184, 1268185548977561601, 1268185552475623425, 1268185636273557507, 1268185685921533953]",27
28,2020-06-03 16:20:06,"[1268185735489871875, 1268185735582158848, 1268185867065180161, 1268186034279460866, 1268186101409292290, 1268186195940593670, 1268186269508648963, 1268186357542858752, 1268186458801745925, 1268186502166708226, 1268186508537876481, 1268186581313126400, 1268186598010761216, 1268186662640762880, 1268186765136969734, 1268186820665397250, 1268186851631923214, 1268186908095586305, 1268186926953238533]",19
29,2020-06-03 16:25:06,"[1268187010910564353, 1268187023124377602, 1268187153776992258, 1268187229958156296, 1268187242335547392, 1268187271330779136, 1268187418634727425, 1268187435541897216, 1268187484392808448, 1268187567767379969, 1268187574847365121, 1268187585744121856, 1268187588831174657, 1268187695911776256, 1268187716384174081, 1268187725578014720, 1268187806393925633, 1268187890959466496, 1268187910685294599, 1268187940624248834, 1268188015555461120, 1268188064582709250, 1268188161278193664, 1268188171470344199]",24
30,2020-06-03 16:30:06,"[1268188271152070656, 1268188352441995264, 1268188494951854080, 1268188510143631361, 1268188728369037315, 1268188839820103680, 1268188918467395584, 1268189151733714944, 1268189245656743938, 1268189361427877888, 1268189414079029249]",11
31,2020-06-03 16:35:06,"[1268189483264081921, 1268189539442610177, 1268189628177276933, 1268189660179771393, 1268189754320879616, 1268189809895497740, 1268189816149233666, 1268189843772837892, 1268189857026838531, 1268189878170288128, 1268190022768963585, 1268190097670799371, 1268190109725327363, 1268190142298292224, 1268190150091137024, 1268190168818868229, 1268190224607318017, 1268190376969543681, 1268190411065036800, 1268190589952155648, 1268190723641393152]",21
32,2020-06-03 16:40:06,"[1268190849105567744, 1268190874153955332, 1268191040399433728, 1268191063380054017, 1268191121102049281, 1268191124654641152, 1268191247753261057, 1268191284197556225, 1268191297090793473, 1268191328028037124, 1268191342691311616, 1268191356977065989, 1268191365156032512, 1268191547130023936, 1268191564133695490, 1268191636623851523, 1268191871500726278, 1268191883370561538, 1268191897476124673, 1268191900676153344, 1268191934805356546, 1268191941801451520]",22
33,2020-06-03 16:45:06,"[1268191988219875332, 1268191989612363784, 1268191991713718273, 1268192037137858560, 1268192060542238721, 1268192359734542336, 1268192451388375040, 1268192494308732929, 1268192497651589120, 1268192534955732999, 1268192589771091969, 1268192729487507456, 1268192781413072901, 1268192790724448258, 1268192822773059585, 1268192824761163776, 1268192878204989440, 1268192904734035968, 1268192912095019009, 1268192918520639488, 1268192988439740416, 1268192995893002241, 1268193103669837826, 1268193147558993921, 1268193194275201025]",25
34,2020-06-03 16:50:06,"[1268193321836519424, 1268193414979485700, 1268193434684317702, 1268193543362838529, 1268193589047287809, 1268193623969091587, 1268193677119291397, 1268193742491725824, 1268193782161453056, 1268193787676889088, 1268193797525123073, 1268193860146155520, 1268193885286735873, 1268193953423245313, 1268194001947176973, 1268194027029106688, 1268194072583450627, 1268194226539544576, 1268194323390226432, 1268194378339815424, 1268194434623180803, 1268194452973240326, 1268194480756228103]",23
35,2020-06-03 16:55:06,"[1268194542534172676, 1268194662604574721, 1268194675707580416, 1268194768275812352, 1268194781584396288, 1268194805441597441, 1268194846419955714, 1268194854514962432, 1268194864698621954, 1268194911796559878, 1268194961025089541, 1268194983460438021, 1268195082722779141, 1268195101890809856, 1268195227598282754, 1268195239107407889, 1268195264713670657, 1268195270229139457, 1268195277405650945, 1268195290424791041, 1268195336759230464, 1268195352936501248, 1268195405524803588, 1268195421656137728, 1268195557098631172, 1268195668474109954, 1268195669011050496, 1268195739361918976]",28
36,2020-06-03 17:00:06,"[1268195909315280900, 1268195948267741184, 1268195980006100997, 1268196000344215552, 1268196000906256385, 1268196049333690373, 1268196094758002688, 1268196103624818688, 1268196154891788288, 1268196182733533185, 1268196245434175489, 1268196282994241543, 1268196432080703489, 1268196460287406080, 1268196500426948611, 1268196503924944896, 1268196583272861702, 1268196584426287104, 1268196589933338624, 1268196618609864705, 1268196815083646976]",21
37,2020-06-03 17:05:06,"[1268197022118666241, 1268197027025874944, 1268197072987140107, 1268197101495869442, 1268197139102019585, 1268197188854853632, 1268197226679017474, 1268197238100185091, 1268197265996480513, 1268197289824305153, 1268197448402558988, 1268197486105112576, 1268197503490502656, 1268197518757769217, 1268197578669207560, 1268197616057290752, 1268197622340366336, 1268197658214256641, 1268197722168995846, 1268197760446193665, 1268197790116720643, 1268197832684683264, 1268197863831592961, 1268197941384228866, 1268197972107497472, 1268198018014162949, 1268198031238799360, 1268198046992646144, 1268198049735675904, 1268198072816893957, 1268198115246575616, 1268198115833716736, 1268198133793796096, 1268198158087213056, 1268198179700445186, 1268198225783259138]",36
38,2020-06-03 17:10:06,"[1268198298449596417, 1268198402073993216, 1268198416586285056, 1268198421426589699, 1268198493518249984, 1268198501193854977, 1268198627605872641, 1268198755918139393, 1268198772951130112, 1268198876575645699, 1268198909509357569, 1268198911136747522, 1268198918887739399, 1268198946075271168, 1268198952786067456, 1268199026454822914, 1268199063742185472, 1268199082239102976, 1268199087494631432, 1268199145032101894, 1268199153676570630, 1268199183711862785, 1268199199557984257, 1268199242713227264, 1268199266721431553, 1268199282844356611, 1268199303585173506, 1268199317401145345, 1268199327924658176, 1268199329006747650, 1268199378201780224]",31
39,2020-06-03 17:15:06,"[1268199554614284289, 1268199573278937089, 1268199598364950537, 1268199618258624512, 1268199642287820800, 1268199643617337345, 1268199658280673285, 1268199782872473601, 1268199788543119360, 1268199810856779776, 1268199813235068929, 1268199825310453760, 1268199921330651138, 1268199933938675712, 1268199954935418880, 1268200009952092166, 1268200020286869504, 1268200104374263810, 1268200155934793732, 1268200178626027522, 1268200247014109185, 1268200322536701952, 1268200346536607744, 1268200348168093708, 1268200363175411716, 1268200392560607232, 1268200462936936449, 1268200484839600129, 1268200509439123456, 1268200512244944897, 1268200535968137216, 1268200540783116292, 1268200618168123394, 1268200658802487299, 1268200669321854981, 1268200709700423682, 1268200727454855169, 1268200739395928065, 1268200746778050565, 1268200764310159362, 1268200786158333953]",41
40,2020-06-03 17:20:06,"[1268200813010313216, 1268200842873712641, 1268200845839151105, 1268200925711253507, 1268200938579415046, 1268200949224542210, 1268200954203115521, 1268200974692372482, 1268200979129946114, 1268200979209601036, 1268201039733362689, 1268201069445775362, 1268201129642426372, 1268201167558971396, 1268201215365648384, 1268201221418037248, 1268201224958095360, 1268201238383996928, 1268201244927168514, 1268201248769150981, 1268201267886686211, 1268201287520333824, 1268201291207106561, 1268201294558384128, 1268201299587280897, 1268201370219249664, 1268201375307005954, 1268201424493645827, 1268201464096264192, 1268201475097927680, 1268201509021454338, 1268201534652809216, 1268201549160837121, 1268201581809487873, 1268201607394734080, 1268201617821753347, 1268201659785609216, 1268201667855634432, 1268201669449388037, 1268201823002902533, 1268201846902075395, 1268201857945604099, 1268201867634446337, 1268201868615966720, 1268201884164243457, 1268201923875872768, 1268201944016969731, 1268201954163011586, 1268201984336842752]",49
41,2020-06-03 17:25:06,"[1268202060576624643, 1268202060828356610, 1268202071628623874, 1268202077387448320, 1268202123789062144, 1268202146941542402, 1268202191308947457, 1268202196354678788, 1268202208975339520, 1268202214574743555, 1268202244429807616, 1268202249047756806, 1268202249647542274, 1268202279351566339, 1268202299123470339, 1268202345407680518, 1268202359341096966, 1268202366328864768, 1268202368052707328, 1268202378588758016, 1268202390550974464, 1268202404870270976, 1268202437254537217, 1268202492036362240, 1268202497837019138, 1268202557647785985, 1268202589876871172, 1268202622055518208, 1268202632641949697, 1268202663008665600, 1268202667903463426, 1268202754230624259, 1268202795133534208, 1268202813634613248, 1268202818562818055, 1268202864482103298, 1268202875454459906, 1268202880139485185, 1268202902339936268, 1268202927556100097, 1268202931259609088, 1268202937676947458, 1268202951241273345, 1268203005712699392, 1268203024624779265, 1268203073371082760, 1268203092182532096, 1268203131827040263, 1268203138986717187, 1268203152106496000, 1268203169827508224, 1268203202727546880, 1268203225695629315, 1268203258834804737, 1268203259287801857, 1268203307811700737, 1268203308377944070, 1268203310072369152]",58
